food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf,is_featured
#REF!,23042,Pico Guacamole Artisan Grilled Chicken on Texas Toast,1 Order,510,17,5,0,115,1570,49,4,10,40,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Burger on Texas Toast,1 Order,740,38,14,1.5,110,1430,61,3,16,40,0,0,0,0,0,0,0,0
#REF!,23042,Sweet BBQ Bacon Artisan Grilled Chicken on Texas Toast,1 Order,640,22,7,0,135,1970,61,3,17,48,0,0,0,0,0,0,0,0
#REF!,23042,Pico Guacamole Buttermilk Crispy Chicken on Texas Toast,1 Order,680,31,7,0,80,1460,68,5,10,31,0,0,0,0,0,0,0,0
#REF!,23042,Buffalo Bacon Burger on Artisan Roll,1 Order,620,33,13,1.5,105,1170,46,3,11,37,0,0,0,0,0,0,0,0
#REF!,23042,Swiss Mushroom Melt Burger on Artisan Roll,1 Order,620,33,17,1.5,115,570,47,3,11,36,0,0,0,0,0,0,0,0
#REF!,23042,Buffalo Bacon Artisan Grilled Chicken on Artisan Roll,1 Order,520,17,5,0,125,1710,45,3,11,45,0,0,0,0,0,0,0,0
#REF!,23042,Swiss Mushroom Melt Buttermilk Crispy Chicken on Artisan Roll,1 Order,700,32,12,0.5,105,1120,66,5,11,37,0,0,0,0,0,0,0,0
#REF!,23042,Swiss Mushroom Melt Artisan Grilled on Artisan Roll,1 Order,540,19,10,0.5,140,1240,47,3,12,46,0,0,0,0,0,0,0,0
#REF!,23042,Buffalo Bacon Buttermilk Crispy Chicken on Artisan Roll,1 Order,680,31,7,0,90,1600,64,4,11,36,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Double Burger on Artisan Roll,1 Order,920,55,23,3,185,1130,49,3,11,57,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Artisan Grilled Chicken on Texas Toast,1 Order,530,19,6,0,125,1170,47,3,10,42,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Buttermilk Crispy Chicken on Texas Toast,1 Order,690,33,8,0,85,1220,66,4,10,33,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Burger on Texas Toast,1 Order,610,33,13,1.5,95,820,47,3,10,31,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Buttermilk Crispy Chicken on Artisan Roll,1 Order,700,34,9,0,85,1190,67,5,11,33,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Burger on Artisan Roll,1 Order,640,35,14,1.5,100,760,49,3,11,33,0,0,0,0,0,0,0,0
#REF!,23042,Garlic White Cheddar Artisan Grilled Chicken on Artisan Roll,1 Order,530,180,30,33,125,41,48,16,13,42,0,0,0,0,0,0,0,0
#REF!,23038,Fruit 'n Yogurt Parfait,1 Order,150,2,1,0,5,75,30,1,22,4,0,0,0,0,0,0,0,0
#REF!,23038,Steak & Egg Burrito,1 Order,350,15,6,0.5,115,950,38,2,3,16,0,0,0,0,0,0,0,0
#REF!,23038,Steak Egg & Cheese Bagel,1 Order,630,31,14,1.5,255,1450,54,4,7,32,0,0,0,0,0,0,0,0
#REF!,23038,Steak Egg & Cheese Biscuit,1 Order,530,30,15,1,230,1500,40,3,4,25,0,0,0,0,0,0,0,0
#REF!,23038,Sausage McMuffin with Egg,1 Order,470,30,12,0,275,810,30,2,3,21,0,0,0,0,0,0,0,0
#REF!,23038,Hotcakes and Sausage,1 Order,790,35,13,0,80,890,103,2,45,16,0,0,0,0,0,0,0,0
#REF!,23038,Southern Style Chicken Biscuit,1 Order,440,21,8,0,35,1220,45,2,4,16,0,0,0,0,0,0,0,0
#REF!,23038,Sausage Burrito,1 Order,300,16,6,0,165,780,26,1,2,13,0,0,0,0,0,0,0,0
#REF!,23038,Fruit & Maple Oatmeal,1 Order,310,4,1.5,0,5,140,62,5,33,6,0,0,0,0,0,0,0,0
#REF!,23038,Egg McMuffin,1 Order,300,12,6,0,245,730,30,2,3,18,0,0,0,0,0,0,0,0
#REF!,23038,Bacon Egg & Cheese Biscuit,1 Order,450,24,12,0,200,1300,40,2,3,18,0,0,0,0,0,0,0,0
#REF!,23038,Sausage Biscuit,1 Order,460,30,13,0,40,1050,36,2,3,11,0,0,0,0,0,0,0,0
#REF!,23038,Sausage Biscuit with Egg,1 Order,530,34,15,0,205,1140,38,2,3,17,0,0,0,0,0,0,0,0
#REF!,23038,Bacon Egg & Cheese McGriddles,1 Order,420,18,8,0,195,1240,45,2,15,18,0,0,0,0,0,0,0,0
#REF!,23038,Sausage McGriddles,1 Order,430,24,9,0,35,990,42,1,15,11,0,0,0,0,0,0,0,0
